"combo","graph","method","median_mae","datasets_count"
"aew__k4_sigma_corr0_5_sigma_dist1|heat_diffusion_temporal","aew__k4_sigma_corr0_5_sigma_dist1","heat_diffusion_temporal","0,1325882316443","4"
"kalofolias|directed_tv","kalofolias","directed_tv","0,133483949571419","4"
"aew__k4_sigma_corr0_5_sigma_dist1|trss","aew__k4_sigma_corr0_5_sigma_dist1","trss","0,129532810483259","4"
"gaussian__sigma1|directed_tv","gaussian__sigma1","directed_tv","0,138096698874418","4"
"gaussian__sigma1|heat_diffusion_temporal","gaussian__sigma1","heat_diffusion_temporal","0,131565985431117","4"
"kalofolias|mean","kalofolias","mean","0,129791748850282","4"
"knn__k5|mean","knn__k5","mean","0,129791748850282","4"
"vknng__alpha1_k4_k_max8_k_min2|mean","vknng__alpha1_k4_k_max8_k_min2","mean","0,129791748850282","4"
"knn__k3|mean","knn__k3","mean","0,129791748850282","4"
"knng__k4_sigma1|mean","knng__k4_sigma1","mean","0,129791748850282","4"
"gaussian__sigma1|mean","gaussian__sigma1","mean","0,129791748850282","4"
"nnk__k4|mean","nnk__k4","mean","0,129791748850282","4"
"aew__k4_sigma_corr0_5_sigma_dist1|mean","aew__k4_sigma_corr0_5_sigma_dist1","mean","0,129791748850282","4"
"kalofolias|tv","kalofolias","tv","0,129791736158223","4"
"nnk__k4|heat_diffusion_temporal","nnk__k4","heat_diffusion_temporal","0,135080592783412","4"
"knn__k5|tv","knn__k5","tv","0,129473768186945","4"
"gaussian__sigma1|tv","gaussian__sigma1","tv","0,129536959130518","4"
"knng__k4_sigma1|heat_diffusion_temporal","knng__k4_sigma1","heat_diffusion_temporal","0,134784293410738","4"
"gaussian__sigma1|gsmooth","gaussian__sigma1","gsmooth","0,129492654488215","4"
"vknng__alpha1_k4_k_max8_k_min2|tv","vknng__alpha1_k4_k_max8_k_min2","tv","0,130903148772083","4"
"knng__k4_sigma1|tv","knng__k4_sigma1","tv","0,13143939415811","4"
